10 NAT2 00232+2.3.1.5 0.448149231 3.766170637
10 NAT2 00633+2.3.1.5 0.448149231 3.766170637
10 NAT2 00983+2.3.1.5 0.448149231 3.766170637
100 ADA  1.976790566 2.200121759
2560 GABRB1  1.60097944 0.870931311
256006 ANKRD31  0.448149231 0.143535956
256051 ZNF549  0.448149231 1.266030907
256076 COL6A5  0 0.074341092
2561 GABRB2  0 0.431924683
256126 SYCE2  1.137927892 0
256130 TMEM196  0 0
2562 GABRB3  0 0.870931311
256227 STEAP1B  0.614168056 0.208251188
256281 NUDT14  2.413895774 2.550042351
256297 PTF1A  0 0
2563 GABRD  0 0.143535956
256309 CCDC110  0 0.655491988
256329 LMNTD2  1.09156854 1.714387903
256356 GK5  2.234288181 3.329836751
256356 GK5 00561+2.7.1.30 2.234288181 3.329836751
256364 EML3  2.293064263 3.080066461
256369 CCDC197  0 0
256380 SCML4  1.09156854 2.274255561
256394 SERPINA11  0.353511395 0
2564 GABRE  2.375218443 3.524987981
256435 ST6GALNAC3  3.112878078 1.612045753
256471 MFSD8  2.629232762 3.029138535
256472 TMEM151A  0.24897202 0.269031705
2565 GABRG1  0 0.380519845
256536 TCERG1L  0 0
256586 LYSMD2  0.24897202 2.871846676
2566 GABRG2  0 0.480815757
256646 NUTM1  0 0
256691 MAMDC2  0 3.609921678
2567 GABRG3  0 0.074341092
256710 GLIPR1L1  0 0
256714 MAP7D2  3.093838887 0.732578551
256764 WDR72  0 0.431924683
2568 GABRP  0.132214463 1.308628866
256815 C10orf67  0 0.074341092
2569 GABRR1  0 0
256933 NPB  0 0.143535956
256949 KANK3  0 0.902722703
256957 HEATR9  0 0
256979 SUN3  0 0
256987 SERINC5  5.282773977 3.69013177
257 ALX3  0 0
2570 GABRR2  0 0
257019 FRMD3  0 3.264184719
257044 CATSPERE  0.132214463 0.655491988
257062 CATSPERD  0 0.074341092
257068 PLCXD2  2.487032686 1.970453991
2571 GAD1  1.629091327 0.074341092
257101 ZNF683  0 0.326328672
257106 ARHGAP30  0 1.728189277
257144 GCSAM  0 1.150849339
257160 RNF214  2.307233928 1.892164759
257169 C9orf43  0.353511395 0.326328672
257177 CFAP126  0 0
257194 NEGR1  0.132214463 2.567957802
2572 GAD2  0 0.143535956
257218 SHPRH  2.823254745 2.669191799
257236 CCDC96  0.448149231 0.208251188
257240 KLHL34  0 0.208251188
257313 UTS2B  0 0
257364 SNX33  1.957017105 2.935304254
257397 TAB3  1.734245349 1.91516546
257407 C2orf72  3.400443085 1.991740968
257415 FAM133B  1.873764832 1.287556692
25759 SHC2  0.448149231 1.868622547
257629 ANKS4B  1.806436331 4.490993844
25763 HYPM  0 0
25764 HYPK  4.012403571 3.797810074
25766 PRPF40B  1.479892557 1.329266151
25769 SLC24A2  0 0
25771 TBC1D22A  2.999856987 4.060989462
25776 CBY1  2.521688396 2.365256538
25777 SUN2  3.569255177 4.654253308
25778 DSTYK  1.413366475 1.768486059
25780 RASGRP3  1.683049873 1.741802763
25782 RAB3GAP2  3.34219525 3.444558363
25788 FSBP  2.744662795 1.480618363
25788 RAD54B  2.744662795 1.480618363
25789 TMEM59L  0 1.462905526
25790 CFAP45  0 0
25791 NGEF  0 4.117855433
25792 CIZ1  3.799483428 4.127856045
25793 FBXO7  4.325911493 4.341009612
25794 FSCN2  0 0
25796 PGLS  3.536873448 3.970582109
25796 PGLS 00030+3.1.1.31 3.536873448 3.970582109
25796 PGLS 00520+3.5.99.6 3.536873448 3.970582109
25797 QPCT  1.895236641 1.686200232
25798 BRI3  4.130449528 5.128118703
25799 ZNF324  1.342097258 1.98115412
258 AMBN  0 0
2580 GAK  3.409829543 4.352998274
25800 SLC39A6  2.941901028 2.567957802
25801 GCA  4.141747181 3.437140989
258010 SVIP  3.067875959 3.931999234
25802 LMOD1  0 4.96230796
25803 SPDEF  0.448149231 2.897714903
25804 LSM4  4.646194485 3.924405696
25805 BAMBI  3.845848911 0.838095947
25806 VAX2  0.991857044 0.208251188
25807 RHBDD3  2.413895774 2.02284519
25809 TTLL1  0.687869026 1.048083542
2581 GALC  3.352141895 4.450386573
2581 GALC 00600+3.2.1.46 3.352141895 4.450386573
25813 SAMM50  4.067133459 3.811556994
25814 ATXN10  4.248213758 3.735340809
25816 TNFAIP8  2.234288181 2.804087739
25817 FAM19A5  0 0.074341092
25818 KLK5  0 0
25819 NOCT  3.067875959 3.315926685
2582 GALE  3.381401645 3.711106585
2582 GALE 00052+5.1.3.2 3.381401645 3.711106585
2582 GALE 00520+5.1.3.2 3.381401645 3.711106585
25820 ARIH1  3.34219525 3.787374429
25821 MTO1  2.618984091 3.002667728
25822 DNAJB5  1.57205436 2.804087739
25823 TPSG1  0.448149231 1.807221716
25824 PRDX5 00480+1.11.1.15 4.873379791 4.676057168
25825 BACE2  0.820738686 2.836280687
25827 FBXL2  1.957017105 1.462905526
25828 TXN2  3.999535848 4.247302005
25829 TMEM184B  3.727338615 3.296121688
2583 B4GALNT1  1.18223294 0.992448294
25830 SULT4A1  0 1.926470418
25831 HECTD1  3.22007599 3.742680861
25833 POU2F3  3.155941919 0.694777878
25834 MGAT4C  0 0.380519845
25836 NIPBL  3.185604573 3.813262147
25837 RAB26  0.24897202 0.431924683
25839 COG4  3.074430159 2.804087739
2584 GALK1  3.143826028 3.551897986
2584 GALK1 00052+2.7.1.6 3.143826028 3.551897986
2584 GALK1 00520+2.7.1.6 3.143826028 3.551897986
25840 METTL7A  0.687869026 4.834005027
25841 ABTB2  1.60097944 3.796078345
25842 ASF1A  2.992793538 2.979407052
25844 YIPF3  4.335212597 4.637956141
25847 ANAPC13  3.910184571 3.560709436
25849 PARM1  1.137927892 2.631031235
2585 GALK2  2.880378407 3.480841749
2585 GALK2 00052+2.7.1.6 2.880378407 3.480841749
2585 GALK2 00520+2.7.1.6 2.880378407 3.480841749
25850 ZNF345  0 1.686200232
25851 TECPR1  1.542267634 2.110742862
25852 ARMC8  3.685676697 3.586687301
25853 DCAF12  2.919271274 3.252313654
25854 FAM149A  0.353511395 1.480618363
25855 BRMS1  3.713643265 3.228140204
25858 CATSPERZ  2.903895165 0.143535956
25861 WHRN  0.756509028 2.174136756
25862 USP49  0.881090702 0.480815757
25864 ABHD14A  2.587592383 2.32079084
25865 PRKD2  3.020752825 3.692056855
25865 PRKD2 04070+2.7.11.13 3.020752825 3.692056855
2587 GALR1  0 0
25870 SUMF2  4.394521231 4.363863032
25871 NEPRO  3.682125235 2.910402332
25873 RPL36  5.575097831 4.551417049
25874 MPC2  4.577402627 4.388125286
25875 LETMD1  4.025107818 4.380425223
25876 SPEF1  0 0
25878 MXRA5  0 2.441971791
25879 DCAF13  4.357188506 3.043955942
2588 GALNS  3.306581575 3.040272122
2588 GALNS 00531+3.1.6.4 3.306581575 3.040272122
25880 TMEM186  0.820738686 1.329266151
25884 CHRDL2  1.342097258 1.596531393
25885 POLR1A  3.970630164 2.818011811
25885 POLR1A 00230+2.7.7.6 3.970630164 2.818011811
25885 POLR1A 00240+2.7.7.6 3.970630164 2.818011811
25886 POC1A  2.608629297 0.838095947
25888 ZNF473  2.451132707 1.548489651
2589 GALNT1  1.708975197 2.731401649
25890 ABI3BP  0 3.466485983
25891 PAMR1  1.60097944 1.657194914
25893 TRIM58  0 0.326328672
25894 PLEKHG4  3.087411076 1.048083542
25895 EEF1AKMT3  1.342097258 1.100785961
25896 INTS7  2.659363242 2.138405177
25897 RNF19A  2.203551749 4.337989853
25898 RCHY1  2.426462782 2.669191799
259 AMBP  0.756509028 0.074341092
2590 GALNT2  3.540978974 3.622371064
25900 IFFO1  0.353511395 2.043056532
25901 CCDC28A  2.234288181 3.520431725
25902 MTHFD1L  2.73553652 1.174971477
25902 MTHFD1L 00670+1.5.1.5+3.5.4.9 2.73553652 1.174971477
25902 MTHFD1L 00670+6.3.4.3 2.73553652 1.174971477
25902 MTHFD1L 00720+1.5.1.5+3.5.4.9 2.73553652 1.174971477
25902 MTHFD1L 00720+6.3.4.3 2.73553652 1.174971477
25903 OLFML2B  0.448149231 2.138405177
25904 CNOT10  3.419128714 3.225077017
25906 ANAPC15  3.414489938 2.241983689
25907 TMEM158  0.353511395 1.548489651
25909 AHCTF1  3.208717039 3.021646676
2591 GALNT3  3.100225646 4.076821811
25911 DPCD  2.105231923 1.349486137
25912 C1orf43  4.168351896 4.840735114
25913 POT1  2.264107988 2.138405177
25914 RTTN  2.122304618 2.082293519
25915 NDUFAF3  3.986500386 4.203299575
25917 THUMPD3  3.740848935 3.161756257
259173 ALS2CL  0.614168056 1.266030907
259197 NCR3  0 0.571963007
2592 GALT  2.629232762 3.924405696
2592 GALT 00052+2.7.7.12 2.629232762 3.924405696
2592 GALT 00520+2.7.7.12 2.629232762 3.924405696
25920 NELFB  2.789085137 2.700780404
25921 ZDHHC5  3.710189918 3.833500369
259215 LY6G6F  0 0
259217 HSPA12A  2.451132707 0.963425172
25923 ATL3  4.040142888 3.928968735
259230 SGMS1  3.242413993 3.893441443
259232 NALCN  0 0.527427501
25924 MYRIP  0 1.498022909
259240 WFDC9  0 0
259249 MRGPRX1  0 0
25925 ZNF521  0 1.741802763
25926 NOL11  4.064709653 3.138611492
259266 ASPM  3.253398619 1.548489651
25927 CNRIP1  0 2.474987306
25928 SOSTDC1  2.888278935 2.531800073
259282 BOD1L1  2.823254745 3.549682938
25929 GEMIN5  3.532750997 2.290009165
2593 GAMT  3.507652898 1.048083542
2593 GAMT 00260+2.1.1.2 3.507652898 1.048083542
2593 GAMT 00330+2.1.1.2 3.507652898 1.048083542
25930 PTPN23  3.258846013 3.34082715
259307 IL4I1  0 0.431924683
259308 FAM205A  0 0
25932 CLIC4  4.270189394 4.109022096
25934 NIPSNAP3A  3.027622188 3.231194035
25936 NSL1  3.428342207 3.161756257
25937 WWTR1  3.600621136 3.727946482
25938 HEATR5A  3.516089116 3.468892968
25939 SAMHD1  3.839789654 4.181140141
25940 FAM98A  3.895922025 3.193917743
25941 TPGS2  3.337184579 3.193917743
25942 SIN3A  3.137712586 3.051283117
25943 C20orf194  0 2.64756439
25945 NECTIN3  3.357078361 3.883962065
25946 ZNF385A  2.122304618 2.379649655
25948 KBTBD2  2.669208313 2.513218821
25949 SYF2  3.682125235 4.687494379
2595 GANC  2.171840548 3.021646676
25950 RWDD3  2.307233928 2.46847083
25953 PNKD  3.386196104 3.391442854
25953 PNKD 00620+3.1.2.6 3.386196104 3.391442854
25956 SEC31B  0 0.208251188
25957 PNISR  4.088687334 4.751501573
25959 KANK2  1.873764832 3.692056855
2596 GAP43  0 1.515129711
25960 ADGRA2  0.24897202 2.550042351
25961 NUDT13  2.155599698 1.531948785
25961 NUDT13 00760+3.6.1.22 2.155599698 1.531948785
25962 VIRMA  3.208717039 3.487943081
25963 TMEM87A  3.664176232 3.85660532
25966 C2CD2  1.479892557 2.120048916
2597 GAPDH  7.911369768 7.21776076
2597 GAPDH 00010+1.2.1.12 7.911369768 7.21776076
2597 GAPDH 00710+1.2.1.12 7.911369768 7.21776076
25970 SH2B1  2.139090722 3.321513952
25972 UNC50  3.047951606 2.994974131
25973 PARS2 00970+6.1.1.15 1.18223294 1.12613091
25974 MMACHC  2.438873818 2.562021576
25975 EGFL6  0 0.208251188
25976 TIPARP  3.155941919 4.076821811
25977 NECAP1  3.737488428 3.727946482
25978 CHMP2B  4.3733592 4.698802258
25979 DHRS7B  2.618984091 2.775644102
25980 AAR2  3.280343608 2.562021576
25981 DNAH1  0 0
25983 NGDN  2.426462782 1.948704004
25984 KRT23  3.08094168 0.143535956
25987 TSKU  3.143826028 3.797810074
25988 HINFP  2.532978449 2.335833501
25989 ULK3  2.307233928 3.638732762
25992 SNED1  0 1.564761363
25994 HIGD1A  3.983872777 4.102664454
25996 REXO2  5.153445848 3.354397437
25998 IBTK  3.703247241 4.058326195
25999 CLIP3  0 2.487894233
26 AOC1 00260+1.4.3.21 1.708975197 6.260477908
26 AOC1 00350+1.4.3.21 1.708975197 6.260477908
26 AOC1 00360+1.4.3.21 1.708975197 6.260477908
26 AOC1 00410+1.4.3.21 1.708975197 6.260477908
26 AOC1 00950+1.4.3.21 1.708975197 6.260477908
26 AOC1 00960+1.4.3.21 1.708975197 6.260477908
26000 TBC1D10B  1.895236641 2.889166297
26001 RNF167  3.773847118 4.633464973
26002 MOXD1  0.132214463 2.421626273
26003 GORASP2  4.968191166 4.39576651
26005 C2CD3  2.463243134 1.970453991
26007 TKFC  3.093838887 5.401754733
26007 TKFC 00051+2.7.1.28 3.093838887 5.401754733
26007 TKFC 00561+2.7.1.29 3.093838887 5.401754733
26007 TKFC 00680+2.7.1.29 3.093838887 5.401754733
26009 AC118549.1  2.555183208 3.187567663
26010 SPATS2L  4.861417594 4.596790465
26011 TENM4  0 0.769002227
26012 NSMF  3.507652898 3.419616783
26013 L3MBTL1  0.756509028 1.174971477
26015 RPAP1  2.361986271 1.868622547
26017 FAM32A  5.266125919 4.951995556
26018 LRIG1  2.598166158 3.155197947
26019 UPF2  2.888278935 2.931196759
26020 LRP10  3.074430159 5.390909617
26022 TMEM98  4.358998217 3.804707156
26025 PCDHGA12  0.132214463 0.838095947
26027 ACOT11  0.132214463 2.208635513
260293 CYP4X1  2.463243134 0.694777878
26030 PLEKHG3  3.13156154 2.705949504
26031 OSBPL3  3.119144764 2.935304254
26032 SUSD5  0 0.870931311
26033 ATRNL1  0 0.694777878
26034 IPCEF1  0 2.290009165
26035 GLCE 00534+5.1.3.17 1.511566348 2.448662672
26037 SIPA1L1  3.264263893 3.471294173
26038 CHD5  0 0.380519845
26039 SS18L1  3.087411076 2.487894233
26040 SETBP1  0.756509028 1.880462931
260425 MAGI3 00230+2.7.4.8 2.413895774 3.676551397
26043 UBXN7  3.285646565 3.006492443
260436 FDCSP  0 1.868622547
26045 LRRTM2  0 0.326328672
26046 LTN1  3.13156154 3.607831628
26047 CNTNAP2  4.062279958 2.012584238
26048 ZNF500  1.542267634 1.462905526
26049 FAM169A  1.708975197 0.326328672
26051 PPP1R16B  0 2.642083654
26052 DNM3  0 0.963425172
26053 AUTS2  0.687869026 2.343270818
26054 SENP6  3.13156154 3.814964398
26056 RAB11FIP5  1.511566348 1.819807194
26057 ANKRD17  3.720514385 4.013326233
26058 GIGYF2  3.149902323 3.893441443
26059 ERC2  0.353511395 0.143535956
26060 APPL1  3.347180939 3.409463322
26061 HACL1  3.860838347 4.182318751
26063 DECR2  2.555183208 3.128525939
26064 RAI14  3.280343608 2.091866845
26065 LSM14A  4.862510999 4.490993844
26071 RTL8A  4.192132971 4.2328486
26073 POLDIP2  2.052192052 1.198525417
26074 CFAP61  0.24897202 0
26084 ARHGEF26  2.566103389 3.275916514
26085 KLK13  0 0.143535956
26086 GPSM1  1.708975197 1.150849339
26088 GGA1  2.639377462 2.836280687
26090 ABHD12  3.940864006 3.794343612
26090 ABHD12 00561+3.1.1.23 3.940864006 3.794343612
26091 HERC4  3.490563905 3.902831804
26092 TOR1AIP1  3.600621136 3.801264562
26093 CCDC9  2.171840548 2.910402332
26094 DCAF4  2.451132707 1.741802763
26097 CHTOP  3.627281818 3.762592545
26098 EDRF1  3.290921549 2.794696134
26099 SZRD1  3.703247241 4.257187223
26100 WIPI2  3.316886988 3.114918329
26103 LRIT1  0 0
26108 PYGO1  1.137927892 1.174971477
26112 CCDC69  1.829386548 3.724228713
26115 TANC2  0 0
26118 WSB1  4.541899852 4.429447359
26119 LDLRAP1  1.806436331 2.636572714
26121 AC012314.10  3.386196104 3.043955942
26121 AC012314.12  3.386196104 3.043955942
26121 AC012314.20  3.386196104 3.043955942
26121 AC012314.23  3.386196104 3.043955942
26121 AC012314.26  3.386196104 3.043955942
26121 AC012314.28  3.386196104 3.043955942
26121 AC012314.5  3.386196104 3.043955942
26121 AC012314.8  3.386196104 3.043955942
26121 PRPF31  3.386196104 3.043955942
26122 EPC2  2.566103389 3.401779994
26123 TCTN3  4.157352487 3.487943081
26127 FGFR1OP2  4.130449528 3.6203069
26128 KIF1BP  4.045104761 2.927072322
26130 GAPVD1  3.45993692 3.332595696
26133 TRPC4AP  5.141115991 4.366805775
26135 SERBP1  3.833693458 4.031295977
26136 TES  4.327778648 4.286269757
26137 ZBTB20  0.534599975 3.697809974
26140 TTLL3  0.448149231 1.714387903
26145 IRF2BP1  1.936844754 2.494285759
26146 TRAF3IP1  1.60097944 2.543998492
26147 PHF19  3.034444685 0.933534465
2615 LRRC32  0 2.849766601
26150 RIBC2  2.388277809 0.480815757
26151 NAT9  2.249309233 1.832236244
26152 ZNF337  1.378366645 2.156430551
26153 KIF26A  0.448149231 1.074781905
26154 ABCA12  0 0
26155 NOC2L  3.366878782 2.66382864
26156 RSL1D1  5.033830618 4.539950514
26157 GIMAP2  0 0.326328672
26160 IFT172  2.264107988 3.449472888
26164 MTG2  1.57205436 1.462905526
26166 RGS22  0 0.143535956
26167 PCDHB5  0 1.150849339
26168 SENP3  1.224658046 2.25014982
2617 GARS  5.217520928 3.85660532
2617 GARS 00970+6.1.1.14 5.217520928 3.85660532
261726 TIPRL  3.848864826 3.466485983
261729 STEAP2  2.451132707 2.979407052
26173 INTS1  2.992793538 3.083606818
261734 NPHP4  1.57205436 1.515129711
26175 TMEM251  1.806436331 2.012584238
2618 GART  4.119022778 3.346277383
2618 GART 00230+2.1.2.2 4.119022778 3.346277383
2618 GART 00230+6.3.3.1 4.119022778 3.346277383
2618 GART 00230+6.3.4.13 4.119022778 3.346277383
2618 GART 00670+2.1.2.2 4.119022778 3.346277383
2618 GART 00670+2.1.2.9 4.119022778 3.346277383
2618 GART 00970+2.1.2.9 4.119022778 3.346277383
2619 GAS1  0 2.138405177
26190 FBXW2  3.569255177 3.543008203
26191 PTPN22  0 2.531800073
262 AMD1  5.071772996 4.256093679
262 AMD1 00270+4.1.1.50 5.071772996 4.256093679
262 AMD1 00330+4.1.1.50 5.071772996 4.256093679
2620 GAS2  1.57205436 0.838095947
26205 GMEB2  2.307233928 2.494285759
26206 SPAG8  0.132214463 0.963425172
26207 PITPNC1  0.687869026 2.836280687
2621 GAS6  2.896117533 4.039482034
2622 GAS8  2.413895774 1.755233408
26224 FBXL3  3.034444685 3.826799702
26225 ARL5A  4.086315273 4.331922841
26227 PHGDH  4.902148805 1.880462931
26227 PHGDH 00260+1.1.1.95 4.902148805 1.880462931
26227 PHGDH 00680+1.1.1.95 4.902148805 1.880462931
26228 STAP1  0 0.838095947
26229 B3GAT3  2.361986271 2.591356469
2623 GATA1  0 0.143535956
26230 TIAM2  0.448149231 3.748150758
26231 LRRC29  0 0.902722703
26232 FBXO2  3.361990578 2.365256538
26233 FBXL6  2.015201814 3.083606818
26234 FBXL5  3.214412643 4.289449553
26235 FBXL4  2.249309233 3.359774405
2624 GATA2  2.293064263 2.494285759
26240 FAM50B  0 1.657194914
26249 KLHL3  1.265356278 0.804145711
2625 GATA3  3.013835948 1.515129711
26253 CLEC4E  0 1.150849339
26254 OPTC  0 0
26256 CABYR  1.378366645 0.431924683
26257 NKX2-8  0 0
26258 BLOC1S6  3.6347704 3.573782722
26259 FBXW8  1.976790566 2.297793867
2626 GATA4  0 4.028552332
26260 FBXO25  1.708975197 2.897714903
26261 FBXO24  0.132214463 0.074341092
26262 TSPAN17  2.139090722 2.66382864
26263 FBXO22  3.477552741 2.96757062
26266 SLC13A4  0 0
26267 FBXO10  0.534599975 1.100785961
26268 FBXO9  3.696256027 3.790865092
26269 FBXO8  2.105231923 3.23423857
2627 GATA6  5.261003611 4.840125156
26270 FBXO6  1.479892557 1.937649002
26271 FBXO5  3.754179156 1.700393382
26272 FBXO4  1.782947003 2.012584238
26273 FBXO3  3.395716609 3.461654562
26275 HIBCH  3.327087281 3.538533499
26276 VPS33B  1.683049873 2.120048916
26277 TINF2  2.753706535 3.287512268
26278 SACS  1.957017105 1.91516546
26279 PLA2G2D 00564+3.1.1.4 0 0.902722703
26279 PLA2G2D 00565+3.1.1.4 0 0.902722703
26279 PLA2G2D 00590+3.1.1.4 0 0.902722703
26279 PLA2G2D 00591+3.1.1.4 0 0.902722703
26279 PLA2G2D 00592+3.1.1.4 0 0.902722703
2628 GATM  0.938006738 4.8594616
26280 IL1RAPL2  0 0.074341092
26281 FGF20  0 0
26284 ERAL1  4.624247972 3.46407319
26286 ARFGAP3  3.86380946 4.486659045
26287 ANKRD2  0 0.074341092
26289 AK5  0 0.870931311
26289 AK5 00230+2.7.4.3 0 0.870931311
26289 AK5 00230+2.7.4.6+2.7.4.3 0 0.870931311
26289 AK5 00240+2.7.4.6 0 0.870931311
26289 AK5 00730+2.7.4.3 0 0.870931311
26289 AK5 00983+2.7.4.6 0 0.870931311
2629 GBA  4.081554204 3.936527833
26290 GALNT8  0 1.832236244
26291 FGF21  0.353511395 0
26292 MYCBP  3.494863609 3.49499434
26297 SERGEF  1.683049873 2.101349391
26298 EHF  0.353511395 3.838496568
26301 GBGT1  0 0.431924683
2631 NIPSNAP2  3.631033119 3.501996227
2632 GBE1 00500+2.4.1.18 1.976790566 3.17796629
2633 GBP1  0 3.444558363
26330 GAPDHS  0 0
26330 GAPDHS 00010+1.2.1.12 0 0
26330 GAPDHS 00710+1.2.1.12 0 0
2634 GBP2  0.132214463 4.465586367
2635 GBP3  0 4.573166533
26353 HSPB8  1.873764832 3.168271836
26354 GNL3  5.146066192 4.027177681
26355 FAM162A  3.904503939 4.191697948
2636 GBX1  0.132214463 0
2637 GBX2  0.614168056 0
2638 GC  0 2.556049901
2639 GCDH  1.829386548 1.856640286
2641 GCG  0 3.686270446
2642 GCGR  0 0.143535956
2643 GCH1 00790+3.5.4.16 2.618984091 2.863073062
2644 GCHFR  3.653250126 3.973489266
2645 GCK 00010+2.7.1.1 0 0
2645 GCK 00010+2.7.1.2 0 0
2645 GCK 00051+2.7.1.1 0 0
2645 GCK 00052+2.7.1.1 0 0
2645 GCK 00052+2.7.1.2 0 0
2645 GCK 00500+2.7.1.1 0 0
2645 GCK 00500+2.7.1.2 0 0
2645 GCK 00520+2.7.1.1 0 0
2645 GCK 00520+2.7.1.2 0 0
2645 GCK 00521+2.7.1.1 0 0
2645 GCK 00521+2.7.1.2 0 0
2645 GCK 00524+2.7.1.1 0 0
2645 GCK 00524+2.7.1.2 0 0
2646 GCKR  0.132214463 0.804145711
2646 GCKR 00520+4.2.1.126 0.132214463 0.804145711
26468 LHX6  1.851821849 1.048083542
26469 PTPN18  2.956707944 4.124117526
2647 BLOC1S1  2.678957404 1.937649002
26470 SEZ6L2  3.58506113 2.550042351
26471 NUPR1  1.656434496 3.751780805
26472 PPP1R14B  3.074430159 3.181177001
2648 KAT2A  3.112878078 2.58555793
2649 NR6A1  2.155599698 1.948704004
26499 PLEK2  2.856295265 3.083606818
2650 GCNT1  2.052192052 3.814964398
26502 NARF  3.6495814 3.014098266
26503 SLC17A5  2.203551749 3.114918329
26504 CNNM4  3.04122095 2.685110826
26505 CNNM3  3.08094168 2.918772063
26507 CNNM1  0 0.480815757
26508 HEYL  1.265356278 2.200121759
26509 MYOF  4.071963517 2.756222028
2651 GCNT2  4.05495525 3.692056855
26511 CHIC2  3.540978974 4.067616763
26512 INTS6  3.854869507 3.695895943
26515 TIMM10B  3.588973888 3.434656255
26517 TIMM13  5.011484869 3.757201287
26519 TIMM10  3.793135701 2.455309083
26520 TIMM9  3.347180939 2.562021576
26521 TIMM8B  4.995348972 3.612007369
26523 AGO1  2.566103389 3.165019353
26524 LATS2  3.805791115 2.84079623
26525 IL36RN  0.132214463 0
26526 TSPAN16  0 0
26528 DAZAP1  3.442005209 3.383619266
2653 GCSH  2.872414964 1.515129711
26548 ITGB1BP2  0.132214463 0.61459938
2657 CERS1  0.614168056 0.074341092
26574 AATF  3.682125235 3.567267443
26575 RGS17  0 0.269031705
26576 SRPK3  0 0.326328672
26577 PCOLCE2  0 1.048083542
26578 OSTF1  1.895236641 4.254998937
26579 MYEOV  0 0.527427501
2658 GDF2  0 0
26580 BSCL2  3.494863609 3.735340809
26585 AC243948.1  0.534599975 3.999280224
26585 GREM1  0.534599975 3.999280224
26586 CKAP2  4.287817053 2.543998492
26589 MRPL46  3.667791898 2.716208229
2660 MSTN  0 0.571963007
26608 TBL2  4.121318597 3.476079355
26609 VCX  0 0
2661 GDF9  0 0
26610 ELP4  2.956707944 3.036574682
2662 GDF10  0 0.208251188
2664 GDI1  2.956707944 3.693978241
2665 GDI2  6.337823759 5.690483793
26659 OR7A5  0 0
266655 BRD3OS  0.24897202 0.208251188
266675 BEST4  0 3.255294658
266727 MDGA1  0 0.571963007
266743 NPAS4  0 0.143535956
266747 RGL4  0 1.287556692
2668 GDNF  0 0.074341092
266812 NAP1L5  0 1.91516546
2669 GEM  1.304462734 3.543008203
266977 ADGRF1  0 1.937649002
267 AMFR  3.296168853 3.674596201
2670 GFAP  0 0
267002 PGBD2  1.734245349 1.937649002
2671 GFER  3.381401645 3.684334178
2672 GFI1  0.132214463 2.02284519
2673 GFPT1 00250+2.6.1.16 4.515966944 4.712759631
2673 GFPT1 00520+2.6.1.16 4.515966944 4.712759631
2674 GFRA1  0 2.313183793
26740 OR1J2  0 0
26747 NUFIP1  3.027622188 2.110742862
2675 GFRA2  0 1.329266151
26750 RPS6KC1 04150+2.7.11.1 2.919271274 2.897714903
26750 RPS6KC1 04151+2.7.11.1 2.919271274 2.897714903
26750 RPS6KC1 04714+2.7.11.1 2.919271274 2.897714903
26750 RPS6KC1 04926+2.7.11.1 2.919271274 2.897714903
26750 RPS6KC1 05165+2.7.11.1 2.919271274 2.897714903
26751 SH3YL1  3.446518372 3.925929023
2676 GFRA3  0.448149231 0.963425172
26762 HAVCR1  3.904503939 0
2677 GGCX  3.77059587 2.765980216
2677 GGCX 00130+4.1.1.90 3.77059587 2.765980216
268 AMH  0 0
2683 B4GALT1  4.322166693 4.105212363
2686 GGT7  2.087862681 2.487894233
2686 GGT7 00430+2.3.2.2 2.087862681 2.487894233
2686 GGT7 00460+2.3.2.2 2.087862681 2.487894233
2686 GGT7 00480+2.3.2.2+3.4.19.13 2.087862681 2.487894233
26872 STEAP1  3.419128714 2.297793867
26873 OPLAH  1.342097258 1.91516546
2688 GH1  0 0
2689 GH2  0 0
269 AMHR2  0.353511395 0.143535956
2690 GHR  0.132214463 1.937649002
2691 GHRH  0 0.963425172
2692 GHRHR  0 0
2694 GIF  0 0.963425172
2695 GIP  0 5.037689537
26952 SMR3A  0 0
26953 RANBP6  2.566103389 2.297793867
26959 HBP1  2.388277809 3.31872422
2696 GIPR  0.132214463 0.732578551
26960 NBEA  0.534599975 1.819807194
2697 GJA1  2.015201814 2.625458877
26973 CHORDC1  5.453897691 3.209618738
26984 SEC22A  2.413895774 2.372478991
26985 AP3M1  4.004702824 3.580255828
26986 PABPC1  6.431062476 6.921950741
26993 AKAP8L  3.653250126 3.278828083
26994 RNF11  3.747536257 4.707200037
26995 TRUB2  3.409829543 3.148596341
26996 GPR160  3.087411076 4.528350972
26998 FETUB  0 0
26999 CYFIP2  1.09156854 2.556049901
27 ABL2 04660+2.7.10.2 1.851821849 2.200121759
270 AMPD1  0 1.868622547
270 AMPD1 00230+3.5.4.6 0 1.868622547
2700 GJA3  0 0
27000 DNAJC2  4.223676387 3.108044451
27005 USP21  2.608629297 2.531800073
2701 GJA4  0 1.970453991
27010 TPK1  4.676921968 3.065778345
27010 TPK1 00730+2.7.6.2 4.676921968 3.065778345
27012 KCNV1  0 0.074341092
27013 CNPPD1  3.106571872 3.632628454
27018 BEX3  5.554524031 3.215830754
27019 DNAI1  0.24897202 0
2702 GJA5  0.24897202 1.426509888
27020 NPTN  4.312742876 5.159195878
27022 FOXD3  0 0.61459938
27023 FOXB1  0 0
2703 GJA8  0 0
27030 MLH3  2.087862681 2.880543982
27031 NPHP3  2.463243134 3.225077017
